type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud
TRANSFER,129526.58,C1786736565,0.0,0.0,C1189777296,2103690.88,2233217.46,0.0
CASH_IN,304210.97,C2138211913,6638620.67,6942831.64,C1766776273,513871.6,209660.63,0.0
CASH_OUT,57905.63,C393598530,188.0,0.0,C769319919,611506.02,669411.65,0.0
CASH_IN,83102.7,C807731926,2274365.81,2357468.51,C322340400,122204.31,39101.61,0.0
PAYMENT,14341.19,C603392505,459181.0,444839.81,M1570710058,0.0,0.0,0.0
PAYMENT,10212.21,C1780417328,10715.0,502.79,M170738948,0.0,0.0,0.0
PAYMENT,4557.25,C1617197023,0.0,0.0,M1641433507,0.0,0.0,0.0
CASH_IN,300262.27,C1083930398,1635562.54,1935824.81,C1829927547,629770.37,329508.1,0.0
PAYMENT,4333.46,C495369998,0.0,0.0,M209936230,0.0,0.0,0.0
CASH_IN,27570.04,C1884585626,5912789.84,5940359.87,C1109638648,668281.5,640711.47,0.0
CASH_IN,125625.28,C1764497264,177.0,125802.28,C264035473,8756000.07,8630374.8,0.0
PAYMENT,3698.47,C128395382,0.0,0.0,M1807566013,0.0,0.0,0.0
CASH_OUT,27340.72,C607179989,0.0,0.0,C482618046,3725266.18,3752606.9,0.0
CASH_IN,138134.16,C1326477252,2608233.65,2746367.81,C1359531182,596550.46,1405639.92,0.0
CASH_OUT,50831.12,C1446986984,101925.18,51094.07,C168826108,4747823.38,4798654.5,0.0
CASH_OUT,112011.6,C418876961,1379.0,0.0,C1054631989,1672527.32,1784538.92,0.0
PAYMENT,29967.16,C1964401848,0.0,0.0,M935049678,0.0,0.0,0.0
PAYMENT,9424.72,C1634349228,133260.93,123836.22,M859823559,0.0,0.0,0.0
CASH_IN,223677.16,C1227347223,1045526.95,1269204.11,C447320069,223761.34,84.18,0.0
CASH_IN,95769.89,C2070180738,148.0,95917.89,C645350969,59688.08,0.0,0.0
CASH_OUT,102054.71,C521480977,9137.0,0.0,C44722149,2212666.22,2314720.93,0.0
PAYMENT,10876.64,C389048510,0.0,0.0,M1824597040,0.0,0.0,0.0
CASH_IN,158955.62,C402455191,1176287.6,1335243.21,C549193644,493872.2,334916.58,0.0
PAYMENT,42823.75,C24891332,16824.64,0.0,M405484630,0.0,0.0,0.0
TRANSFER,352024.39,C1485112428,21357.0,0.0,C2015069833,42722.0,683021.46,0.0
CASH_OUT,99695.87,C641917870,0.0,0.0,C440225172,547596.11,647291.98,0.0
CASH_OUT,270417.12,C1303222256,0.0,0.0,C1215309598,575972.93,846390.05,0.0
CASH_OUT,263424.16,C643311986,0.0,0.0,C886730769,2122403.11,2385827.28,0.0
CASH_OUT,325346.76,C1016021139,47403.0,0.0,C195166853,401687.62,727034.38,0.0
CASH_OUT,217798.8,C1241178065,0.0,0.0,C313139641,7384900.21,7602699.01,0.0
TRANSFER,494111.72,C192282706,0.0,0.0,C2041526752,1644885.38,2282997.31,0.0
PAYMENT,41979.73,C155633895,131140.0,89160.27,M946752171,0.0,0.0,0.0
CASH_OUT,205137.78,C1664628753,30198.0,0.0,C938540313,0.0,205137.78,0.0
PAYMENT,19152.89,C862981826,0.0,0.0,M227335580,0.0,0.0,0.0
PAYMENT,8536.67,C1443407328,0.0,0.0,M2018667875,0.0,0.0,0.0
PAYMENT,10435.02,C219116837,0.0,0.0,M1223648039,0.0,0.0,0.0
TRANSFER,1686693.14,C2081482359,7436.0,0.0,C1897205457,369296.37,2080397.02,0.0
PAYMENT,9935.67,C1185330859,10993.0,1057.33,M1445572365,0.0,0.0,0.0
CASH_IN,237575.23,C1231004867,1927621.11,2165196.34,C644693639,1503778.69,1266203.46,0.0
PAYMENT,6091.3,C1236044373,103618.0,97526.7,M1798367825,0.0,0.0,0.0
CASH_OUT,169524.78,C1459525066,113.0,0.0,C283459723,176099.88,345624.66,0.0
PAYMENT,14775.82,C1219978037,20726.0,5950.18,M215817784,0.0,0.0,0.0
CASH_IN,5231.64,C1852279575,7336289.03,7341520.67,C1410197777,564988.14,358587.55,0.0
PAYMENT,4822.32,C657272585,342073.16,337250.85,M32183494,0.0,0.0,0.0
PAYMENT,3329.57,C686002171,96953.08,93623.51,M1879479591,0.0,0.0,0.0
CASH_IN,48309.67,C785023606,15740.0,64049.67,C214370411,290433.9,242124.22,0.0
CASH_IN,147921.61,C1539146180,5289243.42,5437165.03,C922556382,1287128.96,1139207.35,0.0
CASH_IN,220706.1,C981666384,7053530.01,7274236.11,C6654185,1530894.57,1310188.46,0.0
CASH_IN,101731.05,C1756649193,4915619.63,5017350.68,C1653962033,1120575.95,1018844.9,0.0
CASH_OUT,88951.87,C89677588,0.0,0.0,C22845568,566243.37,655195.24,0.0
CASH_OUT,20422.93,C1646039745,0.0,0.0,C148078210,294184.98,366640.44,0.0
TRANSFER,1295780.57,C1810509637,0.0,0.0,C644165296,5592459.71,6888240.28,0.0
CASH_IN,86818.32,C252260155,6600.0,93418.32,C1177076202,753240.68,666422.36,0.0
PAYMENT,1904.73,C1775498383,354459.0,352554.27,M609434916,0.0,0.0,0.0
TRANSFER,1047002.58,C760461067,0.0,0.0,C1758178038,1181374.37,2228376.95,0.0
CASH_OUT,158572.43,C235941592,1876241.61,1717669.18,C357971780,533077.84,848604.22,0.0
PAYMENT,4362.36,C1029197231,479614.82,475252.46,M716996633,0.0,0.0,0.0
CASH_IN,22363.48,C1273632939,213579.0,235942.48,C411634341,702211.89,679848.41,0.0
PAYMENT,975.99,C1007922302,36806.0,35830.01,M148124210,0.0,0.0,0.0
PAYMENT,11785.84,C88816599,0.0,0.0,M1072132680,0.0,0.0,0.0
PAYMENT,26072.67,C155874304,102990.0,76917.33,M246478418,0.0,0.0,0.0
CASH_OUT,206301.22,C248393984,0.0,0.0,C1673569526,395301.33,601602.55,0.0
CASH_OUT,306764.18,C1241707923,0.0,0.0,C1850803964,2230109.38,2536873.56,0.0
CASH_IN,178801.05,C864586686,159.0,178960.05,C2036376635,568386.05,389585.0,0.0
CASH_IN,342948.49,C1140867052,8685941.98,9028890.47,C1116924775,3893756.16,3550807.67,0.0
TRANSFER,579543.62,C337827740,0.0,0.0,C1730460314,1761150.33,2340693.95,0.0
CASH_OUT,54541.23,C513095519,0.0,0.0,C172137506,19264820.06,19319361.29,0.0
DEBIT,3719.52,C507809219,30066.0,26346.48,C1643912722,554264.77,557984.29,0.0
PAYMENT,10525.88,C1888801889,24782.46,14256.58,M136961195,0.0,0.0,0.0
PAYMENT,28013.0,C1732792833,17680.0,0.0,M1210871789,0.0,0.0,0.0
CASH_OUT,218483.07,C1104386300,0.0,0.0,C2018835590,2188247.42,2406730.49,0.0
TRANSFER,1357365.82,C313725126,0.0,0.0,C189174250,8539675.66,9897041.48,0.0
PAYMENT,846.74,C1918326496,523169.43,522322.69,M1210729696,0.0,0.0,0.0
CASH_OUT,325867.83,C1369632200,0.0,0.0,C1499489682,4412358.94,4838577.59,0.0
PAYMENT,17683.86,C1609835062,140481.1,122797.24,M2124822298,0.0,0.0,0.0
PAYMENT,32430.24,C1045487941,0.0,0.0,M1818600919,0.0,0.0,0.0
PAYMENT,14363.16,C187464952,17217.0,2853.84,M991765176,0.0,0.0,0.0
TRANSFER,72650.91,C2028082,101.0,0.0,C1037297893,749491.82,822142.74,0.0
CASH_IN,34572.14,C1608450246,5025.0,39597.14,C1792364699,0.0,0.0,0.0
CASH_OUT,185313.81,C1740195518,28691.0,0.0,C1038570948,190979.92,376293.73,0.0
PAYMENT,863.3,C120310611,20780.0,19916.7,M884747864,0.0,0.0,0.0
CASH_OUT,91733.96,C820155625,439380.0,347646.04,C943905916,656977.36,748711.32,0.0
CASH_OUT,313360.76,C1561792481,0.0,0.0,C372425279,4680289.3,4993650.05,0.0
PAYMENT,10939.96,C1408893087,50270.0,39330.04,M40096231,0.0,0.0,0.0
CASH_OUT,75320.12,C994158858,0.0,0.0,C1865794570,247795.73,323115.85,0.0
CASH_OUT,150055.9,C1591606369,0.0,0.0,C1000795584,2290860.86,2138510.96,0.0
PAYMENT,52770.86,C219578735,0.0,0.0,M1969467416,0.0,0.0,0.0
CASH_IN,179706.01,C105411513,9887.0,189593.01,C1763712098,2450527.7,2270821.7,0.0
CASH_OUT,111124.41,C784041811,0.0,0.0,C833472510,3880684.48,3991808.9,0.0
TRANSFER,883784.28,C1966849649,117386.0,0.0,C976421237,54745.75,938530.03,0.0
CASH_OUT,326620.1,C554765600,0.0,0.0,C125074869,3406394.84,4015446.78,0.0
CASH_OUT,331478.22,C1627048180,0.0,0.0,C1364604320,472132.89,803611.1,0.0
CASH_OUT,12562.14,C773817361,33734.0,21171.86,C1960684225,0.0,12562.14,0.0
CASH_IN,394782.0,C774087112,283449.65,678231.65,C1950180292,0.0,0.0,0.0
CASH_IN,111183.03,C1796377177,4127201.09,4238384.12,C1848759565,3575784.7,3945257.86,0.0
TRANSFER,1471768.18,C325740367,5703.0,0.0,C898250117,2104098.74,3575866.93,0.0
CASH_OUT,39264.93,C94647725,0.0,0.0,C1324591205,651268.48,695230.15,0.0
PAYMENT,23815.92,C1852705837,1072.0,0.0,M945978593,0.0,0.0,0.0
CASH_OUT,1406.13,C1688906107,0.0,0.0,C980364827,28582.67,298648.65,0.0
CASH_IN,109841.39,C1252997661,4564122.02,4673963.41,C1725436103,1645446.29,2751686.85,0.0
CASH_OUT,211926.46,C422516537,0.0,0.0,C1414763289,544074.39,434053.18,0.0
PAYMENT,38621.98,C1458827603,41383.0,2761.02,M1602926926,0.0,0.0,0.0
PAYMENT,5553.6,C1179840559,0.0,0.0,M430008336,0.0,0.0,0.0
CASH_OUT,375384.09,C433551715,0.0,0.0,C1801299239,5097001.64,5472385.73,0.0
CASH_IN,75378.69,C1771468904,888340.45,963719.15,C1406437840,735040.8,659662.11,0.0
PAYMENT,14138.98,C645890887,6098.0,0.0,M151907726,0.0,0.0,0.0
CASH_IN,112299.79,C681854636,20957.0,133256.79,C508275733,66695.37,0.0,0.0
PAYMENT,5327.61,C598621377,148.0,0.0,M482040665,0.0,0.0,0.0
CASH_OUT,50831.75,C1314699370,0.0,0.0,C2048564964,1029083.17,1251109.63,0.0
CASH_OUT,51946.27,C1792087468,16522.0,0.0,C168826108,4695877.11,4747823.38,0.0
CASH_OUT,182685.48,C1629106708,11307.0,0.0,C1767735405,1065973.15,1283463.79,0.0
CASH_IN,184403.06,C2049985378,0.0,184403.06,C207826092,1272682.7,1088279.64,0.0
CASH_OUT,441724.39,C2078742208,12108.0,0.0,C575182071,1078431.93,2685663.94,0.0
CASH_IN,346803.7,C1088647934,12735518.74,13082322.44,C797592534,1089304.28,742500.58,0.0
TRANSFER,137552.37,C211664353,0.0,0.0,C2068650973,464802.52,602354.88,0.0
CASH_OUT,457229.49,C279561240,212.0,0.0,C1568741999,1017564.6,1474794.09,0.0
CASH_OUT,206592.56,C1726058775,0.0,0.0,C1712503120,810946.05,653512.35,0.0
PAYMENT,13957.3,C1881280472,42962.0,29004.7,M567447969,0.0,0.0,0.0
CASH_OUT,151914.58,C548149425,0.0,0.0,C1573001902,2419839.0,2571753.58,0.0
CASH_IN,119158.2,C97903884,11321672.2,11440830.4,C1448433129,829226.94,710068.74,0.0
TRANSFER,1556257.97,C1023065153,90303.0,0.0,C554987925,523515.95,2079773.91,0.0
PAYMENT,14587.9,C1338939674,204842.02,190254.12,M717029498,0.0,0.0,0.0
PAYMENT,7874.81,C156166833,23761.0,15886.19,M1744130316,0.0,0.0,0.0
CASH_OUT,15928.84,C7147394,0.0,0.0,C797592534,914313.38,930242.22,0.0
CASH_IN,32285.19,C1621712859,11071412.71,11103697.9,C1259778962,1180328.22,1148043.03,0.0
CASH_OUT,280694.73,C675671830,651.0,0.0,C1030640525,286507.0,0.0,0.0
TRANSFER,293135.32,C71818778,102831.0,0.0,C635247650,6021759.96,6314895.28,0.0
TRANSFER,249167.02,C670631085,0.0,0.0,C1594701839,1276311.9,1525478.93,0.0
PAYMENT,4457.99,C860488306,46.0,0.0,M963886795,0.0,0.0,0.0
CASH_IN,178054.73,C1933339685,51151.0,229205.73,C472344182,4695594.53,4517539.81,0.0
CASH_IN,239144.1,C1533426092,4487727.54,4726871.64,C1590550415,26187256.18,25948112.09,0.0
CASH_IN,131575.49,C2067065369,12965.0,144540.49,C1715538029,0.0,0.0,0.0
CASH_OUT,5147.52,C632198887,9941.0,4793.48,C1794263823,0.0,5147.52,0.0
CASH_OUT,251443.56,C2077407293,0.0,0.0,C250098145,701401.38,952844.93,0.0
CASH_OUT,130281.91,C1606871933,0.0,0.0,C1622613255,384696.13,848192.89,0.0
CASH_OUT,15692.72,C1163241659,0.0,0.0,C1309951968,893494.46,909187.18,0.0
CASH_IN,31076.84,C221691556,15779224.81,15810301.65,C23101899,2720229.63,2689152.79,0.0
PAYMENT,110.64,C545875926,502.0,391.36,M2140724677,0.0,0.0,0.0
CASH_OUT,149803.15,C1395628914,0.0,0.0,C883014610,1620364.76,2152969.71,0.0
PAYMENT,10958.43,C1985266948,39988.0,29029.57,M990169926,0.0,0.0,0.0
PAYMENT,27529.43,C1942174091,0.0,0.0,M593024476,0.0,0.0,0.0
PAYMENT,10376.32,C1227299558,0.0,0.0,M260532884,0.0,0.0,0.0
CASH_IN,205776.87,C492033713,40117.0,245893.87,C381378654,866113.23,660336.36,0.0
CASH_OUT,247267.25,C658962417,33409.0,0.0,C1861369227,373359.6,620626.85,0.0
TRANSFER,126992.52,C963932134,271.0,0.0,C1298776016,325204.41,452196.93,0.0
PAYMENT,4677.1,C588436104,110756.43,106079.33,M1999514555,0.0,0.0,0.0
PAYMENT,2800.49,C1525706631,0.0,0.0,M1225191245,0.0,0.0,0.0
PAYMENT,4730.85,C622867675,14749.0,10018.15,M694796347,0.0,0.0,0.0
